"Type","Op","Size","Time"
mpi_np,sum,256,0.000049001
mpi_np,std,256,0.000175755
mpi_np,slice,256,0.000229386
mpi_np,iterate,256,0.000033880
mpi_np,reshape,256,0.001900036
mpi_np,creation,512,0.000418796
mpi_np,add,512,0.000025154
mpi_np,sub,512,0.000019083
mpi_np,mul,512,0.000016943
mpi_np,div,512,0.000019716
mpi_np,max,512,0.000232539
mpi_np,mean,512,0.000123998
mpi_np,sum,512,0.000049643
mpi_np,std,512,0.000203338
mpi_np,slice,512,0.000233041
mpi_np,iterate,512,0.000055461
mpi_np,reshape,512,0.003427007
mpi_np,creation,1024,0.000491744
mpi_np,add,1024,0.000034111
mpi_np,sub,1024,0.000019639
mpi_np,mul,1024,0.000017937
mpi_np,div,1024,0.000021621
mpi_np,max,1024,0.000236536
mpi_np,mean,1024,0.000126550
mpi_np,sum,1024,0.000050376
mpi_np,std,1024,0.000190553
mpi_np,slice,1024,0.000234012
mpi_np,iterate,1024,0.000096140
mpi_np,reshape,1024,0.006432963
mpi_np,creation,2048,0.000651434
mpi_np,add,2048,0.000027048
mpi_np,sub,2048,0.000021204
mpi_np,mul,2048,0.000018855
mpi_np,div,2048,0.000026104
mpi_np,max,2048,0.000238915
mpi_np,mean,2048,0.000126775
mpi_np,sum,2048,0.000051186
mpi_np,std,2048,0.000188208
mpi_np,slice,2048,0.000235149
mpi_np,iterate,2048,0.000181716
mpi_np,reshape,2048,0.012514842
mpi_np,creation,4096,0.000825143
mpi_np,add,4096,0.000031763
mpi_np,sub,4096,0.000023769
mpi_np,mul,4096,0.000021563
mpi_np,div,4096,0.000034690
mpi_np,max,4096,0.000242975
mpi_np,mean,4096,0.000129724
mpi_np,sum,4096,0.000053802
mpi_np,std,4096,0.000201869
mpi_np,slice,4096,0.000255450
mpi_np,iterate,4096,0.000347667
mpi_np,reshape,4096,0.024052420
mpi_np,creation,8192,0.001301338
mpi_np,add,8192,0.000041895
mpi_np,sub,8192,0.000030170
mpi_np,mul,8192,0.000026658
mpi_np,div,8192,0.000050832
mpi_np,max,8192,0.000253816
mpi_np,mean,8192,0.000135985
mpi_np,sum,8192,0.000058210
mpi_np,std,8192,0.000233570
mpi_np,slice,8192,0.000262183
mpi_np,iterate,8192,0.000701275
mpi_np,reshape,8192,0.048290467
mpi_np,creation,16384,0.002154808
mpi_np,add,16384,0.000052547
mpi_np,sub,16384,0.000039048
mpi_np,mul,16384,0.000035211
mpi_np,div,16384,0.000083162
mpi_np,max,16384,0.000267095
mpi_np,mean,16384,0.000146678
mpi_np,sum,16384,0.000066082
mpi_np,std,16384,0.000299014
mpi_np,slice,16384,0.000297538
mpi_np,iterate,16384,0.001358332
mpi_np,reshape,16384,0.096058843
mpi_np,creation,32768,0.003853140
mpi_np,add,32768,0.000100509
mpi_np,sub,32768,0.000092236
mpi_np,mul,32768,0.000087788
mpi_np,div,32768,0.000153514
mpi_np,max,32768,0.000298374
mpi_np,mean,32768,0.000178852
mpi_np,sum,32768,0.000088738
mpi_np,std,32768,0.000448541
mpi_np,slice,32768,0.000360713
mpi_np,iterate,32768,0.002715616
mpi_np,reshape,32768,0.189670455
mpi_np,creation,65536,0.007413227
mpi_np,add,65536,0.000175995
mpi_np,sub,65536,0.000165582
mpi_np,mul,65536,0.000163097
mpi_np,div,65536,0.000282991
mpi_np,max,65536,0.000356172
mpi_np,mean,65536,0.000234486
mpi_np,sum,65536,0.000148478
mpi_np,std,65536,0.000781998
mpi_np,slice,65536,0.000472720
mpi_np,iterate,65536,0.005764002
mpi_np,reshape,65536,0.379444192
mpi_np,creation,131072,0.014652090
mpi_np,add,131072,0.000333474
mpi_np,sub,131072,0.000312435
mpi_np,mul,131072,0.000305461
mpi_np,div,131072,0.000552071
mpi_np,max,131072,0.000453996
mpi_np,mean,131072,0.000325758
mpi_np,sum,131072,0.000241004
mpi_np,std,131072,0.001339835
mpi_np,slice,131072,0.000693664
mpi_np,iterate,131072,0.011805755
mpi_np,reshape,131072,0.756824518
mpi_np,creation,262144,0.031173478
mpi_np,add,262144,0.000748291
mpi_np,sub,262144,0.000651080
mpi_np,mul,262144,0.000616988
mpi_np,div,262144,0.001073393
mpi_np,max,262144,0.000688538
mpi_np,mean,262144,0.000501155
mpi_np,sum,262144,0.000404220
mpi_np,std,262144,0.002638866
mpi_np,slice,262144,0.001367059
mpi_np,iterate,262144,0.022189930
mpi_np,reshape,262144,1.487921229
mpi_np,creation,524288,0.059670050
mpi_np,add,524288,0.001698391
mpi_np,sub,524288,0.001783279
mpi_np,mul,524288,0.001708877
mpi_np,div,524288,0.002254377
mpi_np,max,524288,0.001047723
mpi_np,mean,524288,0.000961409
mpi_np,sum,524288,0.000836863
mpi_np,std,524288,0.005814851
mpi_np,slice,524288,0.002611014
mpi_np,iterate,524288,0.044436656
mpi_np,reshape,524288,2.996983084
mpi_np,creation,1048576,0.117727055
mpi_np,add,1048576,0.003396605
mpi_np,sub,1048576,0.003477199
mpi_np,mul,1048576,0.003430003
mpi_np,div,1048576,0.004435120
mpi_np,max,1048576,0.001759974
mpi_np,mean,1048576,0.001949766
mpi_np,sum,1048576,0.001837352
mpi_np,std,1048576,0.012424609
mpi_np,slice,1048576,0.005075427
mpi_np,iterate,1048576,0.085800729
mpi_np,reshape,1048576,5.986379398
mpi_np,creation,2097152,0.231609535
mpi_np,add,2097152,0.006655830
mpi_np,sub,2097152,0.006754343
mpi_np,mul,2097152,0.006706691
mpi_np,div,2097152,0.008760971
mpi_np,max,2097152,0.003120197
mpi_np,mean,2097152,0.003717474
mpi_np,sum,2097152,0.003816394
mpi_np,std,2097152,0.023708094
mpi_np,slice,2097152,0.009683807
