"Type","Op","Size","Time"
mpi_np,global_setting,2097152,0.000009160
mpi_np,local_getting,2097152,0.000000586
mpi_np,global_getting,2097152,0.000186517
mpi_np,empty,4194304,0.000106768
mpi_np,arange,4194304,0.028136996
mpi_np,local_slicing,4194304,0.000000925
mpi_np,local_setting,4194304,0.000000566
mpi_np,global_setting,4194304,0.000009012
mpi_np,local_getting,4194304,0.000000566
mpi_np,global_getting,4194304,0.000186288
mpi_np,empty,8388608,0.000106433
mpi_np,arange,8388608,0.055946608
mpi_np,local_slicing,8388608,0.000000925
mpi_np,local_setting,8388608,0.000000575
mpi_np,global_setting,8388608,0.000008946
mpi_np,local_getting,8388608,0.000000575
mpi_np,global_getting,8388608,0.000186359
mpi_np,empty,16777216,0.000105804
mpi_np,arange,16777216,0.110647717
mpi_np,local_slicing,16777216,0.000000920
mpi_np,local_setting,16777216,0.000000563
mpi_np,global_setting,16777216,0.000008981
mpi_np,local_getting,16777216,0.000000569
mpi_np,global_getting,16777216,0.000186335
mpi_np,empty,33554432,0.000108188
mpi_np,arange,33554432,0.221493302
mpi_np,local_slicing,33554432,0.000000926
mpi_np,local_setting,33554432,0.000000565
mpi_np,global_setting,33554432,0.000008927
mpi_np,local_getting,33554432,0.000000571
mpi_np,global_getting,33554432,0.000187166
mpi_np,empty,67108864,0.000111142
mpi_np,arange,67108864,0.441156833
mpi_np,local_slicing,67108864,0.000000924
mpi_np,local_setting,67108864,0.000000565
mpi_np,global_setting,67108864,0.000009076
mpi_np,local_getting,67108864,0.000000566
mpi_np,global_getting,67108864,0.000186365
mpi_np,empty,134217728,0.000115791
mpi_np,arange,134217728,0.953090907
mpi_np,local_slicing,134217728,0.000000937
mpi_np,local_setting,134217728,0.000000571
mpi_np,global_setting,134217728,0.000008980
mpi_np,local_getting,134217728,0.000000573
mpi_np,global_getting,134217728,0.000191670
np,empty,1,0.000003089
np,arange,1,0.000002270
np,setting,1,0.000000181
np,getting,1,0.000000185
np,empty,2,0.000003018
np,arange,2,0.000002373
np,setting,2,0.000000180
np,getting,2,0.000000183
np,empty,4,0.000002995
np,arange,4,0.000002754
np,setting,4,0.000000179
np,getting,4,0.000000187
np,empty,8,0.000003038
np,arange,8,0.000002744
np,setting,8,0.000000183
np,getting,8,0.000000187
np,empty,16,0.000003050
np,arange,16,0.000002810
np,setting,16,0.000000181
np,getting,16,0.000000188
np,empty,32,0.000003063
np,arange,32,0.000002907
np,setting,32,0.000000183
np,getting,32,0.000000185
np,empty,64,0.000004877
np,arange,64,0.000004471
np,setting,64,0.000000180
np,getting,64,0.000000182
np,empty,128,0.000004443
np,arange,128,0.000004929
np,setting,128,0.000000180
np,getting,128,0.000000184
np,empty,256,0.000004173
np,arange,256,0.000005676
np,setting,256,0.000000183
np,getting,256,0.000000183
np,empty,512,0.000004181
np,arange,512,0.000006874
np,setting,512,0.000000174
np,getting,512,0.000000180
np,empty,1024,0.000004218
np,arange,1024,0.000009152
np,setting,1024,0.000000188
np,getting,1024,0.000000185
np,empty,2048,0.000004087
np,arange,2048,0.000013933
np,setting,2048,0.000000178
np,getting,2048,0.000000180
np,empty,4096,0.000005041
np,arange,4096,0.000023360
np,setting,4096,0.000000172
np,getting,4096,0.000000178
np,empty,8192,0.000004219
np,arange,8192,0.000042631
