"Type","Op","Size","Time"
mpi_np,max,4096,0.000237054
mpi_np,mean,4096,0.000125721
mpi_np,sum,4096,0.000052513
mpi_np,std,4096,0.000199422
mpi_np,global_slice,4096,0.000244695
mpi_np,local_iterate,4096,0.000355672
mpi_np,reshape,4096,0.023356278
mpi_np,creation,8192,0.001329841
mpi_np,add,8192,0.000035946
mpi_np,sub,8192,0.000027744
mpi_np,mul,8192,0.000024912
mpi_np,div,8192,0.000050054
mpi_np,max,8192,0.000242852
mpi_np,mean,8192,0.000132254
mpi_np,sum,8192,0.000056966
mpi_np,std,8192,0.000221604
mpi_np,global_slice,8192,0.000256808
mpi_np,local_iterate,8192,0.000690426
mpi_np,reshape,8192,0.046068938
mpi_np,creation,16384,0.002136605
mpi_np,add,16384,0.000055765
mpi_np,sub,16384,0.000038084
mpi_np,mul,16384,0.000034354
mpi_np,div,16384,0.000082208
mpi_np,max,16384,0.000259266
mpi_np,mean,16384,0.000141388
mpi_np,sum,16384,0.000065104
mpi_np,std,16384,0.000293365
mpi_np,global_slice,16384,0.000295852
mpi_np,local_iterate,16384,0.001406479
mpi_np,reshape,16384,0.091783829
mpi_np,creation,32768,0.003913867
mpi_np,add,32768,0.000099422
mpi_np,sub,32768,0.000094726
mpi_np,mul,32768,0.000086552
mpi_np,div,32768,0.000154039
mpi_np,max,32768,0.000297841
mpi_np,mean,32768,0.000175117
mpi_np,sum,32768,0.000089822
mpi_np,std,32768,0.000466273
mpi_np,global_slice,32768,0.000358791
mpi_np,local_iterate,32768,0.002719987
mpi_np,reshape,32768,0.181905429
mpi_np,creation,65536,0.007302132
mpi_np,add,65536,0.000180628
mpi_np,sub,65536,0.000171616
mpi_np,mul,65536,0.000164501
mpi_np,div,65536,0.000282698
mpi_np,max,65536,0.000349816
mpi_np,mean,65536,0.000240838
mpi_np,sum,65536,0.000150334
mpi_np,std,65536,0.000812277
mpi_np,global_slice,65536,0.000474851
mpi_np,local_iterate,65536,0.005542004
mpi_np,reshape,65536,0.368330263
mpi_np,creation,131072,0.014600140
mpi_np,add,131072,0.000327001
mpi_np,sub,131072,0.000314924
mpi_np,mul,131072,0.000304971
mpi_np,div,131072,0.000539206
mpi_np,max,131072,0.000454844
mpi_np,mean,131072,0.000324900
mpi_np,sum,131072,0.000254997
mpi_np,std,131072,0.001401997
mpi_np,global_slice,131072,0.000686329
mpi_np,local_iterate,131072,0.010659241
mpi_np,reshape,131072,0.739991358
mpi_np,creation,262144,0.030523378
mpi_np,add,262144,0.000744275
mpi_np,sub,262144,0.000645828
mpi_np,mul,262144,0.000599249
mpi_np,div,262144,0.001064474
mpi_np,max,262144,0.000638158
mpi_np,mean,262144,0.000516907
mpi_np,sum,262144,0.000391398
mpi_np,std,262144,0.002641745
mpi_np,global_slice,262144,0.001333431
mpi_np,local_iterate,262144,0.022763045
mpi_np,reshape,262144,1.458473289
mpi_np,creation,524288,0.059156031
mpi_np,add,524288,0.001801398
mpi_np,sub,524288,0.001765840
mpi_np,mul,524288,0.001780296
mpi_np,div,524288,0.002222914
mpi_np,max,524288,0.001030004
mpi_np,mean,524288,0.000909947
mpi_np,sum,524288,0.000763804
mpi_np,std,524288,0.005671587
mpi_np,global_slice,524288,0.002592972
mpi_np,local_iterate,524288,0.042409616
mpi_np,reshape,524288,2.902911250
mpi_np,creation,1048576,0.116568546
mpi_np,add,1048576,0.003441155
mpi_np,sub,1048576,0.003412640
mpi_np,mul,1048576,0.003433019
mpi_np,div,1048576,0.004422247
mpi_np,max,1048576,0.001763011
mpi_np,mean,1048576,0.001935667
mpi_np,sum,1048576,0.001880438
mpi_np,std,1048576,0.011849502
mpi_np,global_slice,1048576,0.004901635
mpi_np,local_iterate,1048576,0.084962225
mpi_np,reshape,1048576,5.804809213
mpi_np,creation,2097152,0.229935984
mpi_np,add,2097152,0.006690806
mpi_np,sub,2097152,0.006693742
mpi_np,mul,2097152,0.006681490
mpi_np,div,2097152,0.008745340
mpi_np,max,2097152,0.003057326
mpi_np,mean,2097152,0.003676594
mpi_np,sum,2097152,0.003533711
mpi_np,std,2097152,0.023131865
mpi_np,global_slice,2097152,0.009522829
mpi_np,local_iterate,2097152,0.169876262
mpi_np,reshape,2097152,11.490577158
mpi_np,creation,4194304,0.458160277
mpi_np,add,4194304,0.019025411
mpi_np,sub,4194304,0.019319265
mpi_np,mul,4194304,0.019188442
mpi_np,div,4194304,0.025014706
mpi_np,max,4194304,0.005626859
mpi_np,mean,4194304,0.007559435
mpi_np,sum,4194304,0.007415619
mpi_np,std,4194304,0.052968204
mpi_np,global_slice,4194304,0.024894728
mpi_np,local_iterate,4194304,0.339636571
mpi_np,reshape,4194304,23.119484497
mpi_np,creation,8388608,0.961612674
mpi_np,add,8388608,0.036864975
mpi_np,sub,8388608,0.037546723
mpi_np,mul,8388608,0.036788970
mpi_np,div,8388608,0.049303227
mpi_np,max,8388608,0.010789375
mpi_np,mean,8388608,0.014781777
mpi_np,sum,8388608,0.014653336
mpi_np,std,8388608,0.103863005
mpi_np,global_slice,8388608,0.043765607
mpi_np,local_iterate,8388608,0.674093093
mpi_np,reshape,8388608,45.461404462
mpi_np,creation,16777216,1.907655959
mpi_np,add,16777216,0.072990635
mpi_np,sub,16777216,0.073895096
mpi_np,mul,16777216,0.073079915
mpi_np,div,16777216,0.098091136
mpi_np,max,16777216,0.020970727
mpi_np,mean,16777216,0.029476940
mpi_np,sum,16777216,0.029081047
mpi_np,std,16777216,0.204927115
mpi_np,global_slice,16777216,0.086156425
mpi_np,local_iterate,16777216,1.354281438
mpi_np,reshape,16777216,91.817666255
mpi_np,creation,33554432,3.866350939
mpi_np,add,33554432,0.175088788
mpi_np,sub,33554432,0.185379615
mpi_np,mul,33554432,0.177078269
mpi_np,div,33554432,0.201396837
mpi_np,max,33554432,0.041379485
mpi_np,mean,33554432,0.058124113
mpi_np,sum,33554432,0.057886493
mpi_np,std,33554432,0.447673562
mpi_np,global_slice,33554432,0.169867222
mpi_np,local_iterate,33554432,2.703120329
mpi_np,creation,67108864,7.594256536
mpi_np,add,67108864,0.289287118
mpi_np,sub,67108864,0.293186850
mpi_np,mul,67108864,0.289514871
mpi_np,div,67108864,0.387711478
mpi_np,max,67108864,0.082055498
mpi_np,mean,67108864,0.116023170
mpi_np,sum,67108864,0.118186359
